	Domain	Phylum	Class	Order	Family	Genus
124678e9938de4de65d680f81cb58608ab0161ac	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
e4568cee3159f3d85af9a474ce41e6c6ddf82c47	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
f34867321eda12529ba05fccccc08ff848571ce0	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
e2cfb5b3032f6753e6dad4da5d779086e2aea982	Bacteria	Pseudomonadota	Betaproteobacteria	Nitrosomonadales	Sterolibacteriaceae	Sulfuritalea
0b752af9f591a4ebbb92755ac626aa3471337225	Bacteria	Bacteroidota	Chitinophagia	Chitinophagales	Chitinophagaceae	Rurimicrobium
12e4a924ee8f05e01fc0876ffe60077b0c995a01	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Solirubrobacteraceae	Solirubrobacter
226b651bf4a4a59a8fe1b0c3b8f74250da3b2ead	Bacteria	Actinomycetota	Actinobacteria	Propionibacteriales	Nocardioidaceae	Marmoricola
edfa092e27af30c0827e11eedca0fb660fa838d9	Bacteria	Acidobacteriota	Acidobacteria_Gp13	Gp13	Gp13	Gp13
e8cc503a1fa97e37de99a6e578e6af7d9b7daf43	Bacteria	Actinomycetota	Thermoleophilia	Gaiellales	Gaiellaceae	Gaiella
67551fbdd739727e368708069e2b6dbc4a615727	Bacteria	Pseudomonadota	Alphaproteobacteria	Caulobacterales	Caulobacteraceae	Phenylobacterium
7db1a25cf8f4dbeb4194fdde9cbcee017275dc22	Bacteria	Actinomycetota	Thermoleophilia	Solirubrobacterales	Parviterribacteraceae	Parviterribacter
0de47f06fbff097d6ebf7f8e0505d99d1ca7a33c	Bacteria	Actinomycetota	Actinobacteria	Micrococcales	Intrasporangiaceae	Intrasporangium
20266f4321377cdbdd1ec98a91500cb632e11173	Bacteria	Actinomycetota	Acidimicrobiia	Acidimicrobiales	Acidimicrobiales_incertae_sedis	Aciditerrimonas
